roc_auc,average_precision,precision,recall,f1,brier_score,true_negatives,false_positives,false_negatives,true_positives,threshold,expected_cost,cost_per_1000
0.9819944282060651,0.8672691164427172,0.9454545454545454,0.7647058823529411,0.8455284552845529,0.010850868125438902,1929,3,16,52,0.75,403.0,201.5
0.9819944282060651,0.8672691164427172,0.9454545454545454,0.7647058823529411,0.8455284552845529,0.010850868125438902,1929,3,16,52,0.76,403.0,201.5
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.77,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.78,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.79,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.8,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.81,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.8200000000000001,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.8300000000000001,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.8400000000000001,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.85,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.010850868125438902,1930,2,16,52,0.86,402.0,201.0
0.9819944282060651,0.8672691164427172,0.9811320754716981,0.7647058823529411,0.859504132231405,0.010850868125438902,1931,1,16,52,0.87,401.0,200.5
0.9819944282060651,0.8672691164427172,0.9811320754716981,0.7647058823529411,0.859504132231405,0.010850868125438902,1931,1,16,52,0.88,401.0,200.5
0.9819944282060651,0.8672691164427172,0.9811320754716981,0.7647058823529411,0.859504132231405,0.010850868125438902,1931,1,16,52,0.89,401.0,200.5
0.9819944282060651,0.8672691164427172,0.9811320754716981,0.7647058823529411,0.859504132231405,0.010850868125438902,1931,1,16,52,0.9,401.0,200.5
0.9819944282060651,0.8672691164427172,0.9807692307692307,0.75,0.85,0.010850868125438902,1931,1,17,51,0.91,426.0,213.0
0.9819944282060651,0.8672691164427172,0.9807692307692307,0.75,0.85,0.010850868125438902,1931,1,17,51,0.92,426.0,213.0
0.9819944282060651,0.8672691164427172,0.9807692307692307,0.75,0.85,0.010850868125438902,1931,1,17,51,0.93,426.0,213.0
0.9819944282060651,0.8672691164427172,0.9807692307692307,0.75,0.85,0.010850868125438902,1931,1,17,51,0.9400000000000001,426.0,213.0
0.9819944282060651,0.8672691164427172,0.9807692307692307,0.75,0.85,0.010850868125438902,1931,1,17,51,0.9500000000000001,426.0,213.0
0.9819944282060651,0.8672691164427172,0.9791666666666666,0.6911764705882353,0.8103448275862069,0.010850868125438902,1931,1,21,47,0.9600000000000001,526.0,263.0
0.9819944282060651,0.8672691164427172,0.9787234042553191,0.6764705882352942,0.8,0.010850868125438902,1931,1,22,46,0.97,551.0,275.5
0.9819944282060651,0.8672691164427172,0.9782608695652174,0.6617647058823529,0.7894736842105263,0.010850868125438902,1931,1,23,45,0.98,576.0,288.0
0.9819944282060651,0.8672691164427172,0.9767441860465116,0.6176470588235294,0.7567567567567568,0.010850868125438902,1931,1,26,42,0.99,651.0,325.5
